Price,Close,Close,Close,Close,Close,High,High,High,High,High,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume
Ticker,HDFCBANK.NS,INFY.NS,RELIANCE.NS,TCS.NS,^NSEI,HDFCBANK.NS,INFY.NS,RELIANCE.NS,TCS.NS,^NSEI,HDFCBANK.NS,INFY.NS,RELIANCE.NS,TCS.NS,^NSEI,HDFCBANK.NS,INFY.NS,RELIANCE.NS,TCS.NS,^NSEI,HDFCBANK.NS,INFY.NS,RELIANCE.NS,TCS.NS,^NSEI
Date,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-11,694.889892578125,1506.940673828125,1455.82470703125,3865.984130859375,22332.650390625,703.7231908402335,1519.3683431830998,1478.060156044582,3894.7279379757806,22526.599609375,692.553777365576,1495.0779873422402,1452.7475073010382,3834.70805162123,22307.25,695.9605773947812,1514.0489306330928,1478.060156044582,3834.70805162123,22517.5,50531094,6752895,11277130,2304068,277900.0
2024-03-12,710.3421630859375,1518.5679931640625,1464.5850830078125,3931.536376953125,22335.69921875,712.5078907659129,1529.9129319534898,1477.0676458601295,3966.892018741981,22452.55078125,695.5955620745772,1504.1633434380817,1454.2614676999044,3864.7640809504387,22256.0,697.9073192338245,1506.375809923436,1455.8248476863198,3865.9835094452415,22334.44921875,65418454,4614222,9432678,4039801,299200.0
2024-03-13,710.755859375,1517.108642578125,1421.6527099609375,3890.976806640625,21997.69921875,716.2067158438075,1529.4420705773052,1472.2034859914554,3977.25539574907,22446.75,705.7429725398497,1505.0105857809417,1417.2850129833478,3874.9401512123873,21905.650390625,713.2379447418698,1518.5208697901078,1468.9029635812572,3943.4942087066347,22432.19921875,63067454,5688997,13522134,2837260,493300.0
2024-03-14,708.3467407226562,1556.556884765625,1420.9578857421875,3945.932373046875,22146.650390625,713.4812990740788,1560.746446205705,1437.882667347047,3962.2501875616867,22204.599609375,702.9202422173576,1513.9075768353332,1415.0268084821887,3831.8945009176455,21917.5,711.5832127948388,1519.9331026141767,1429.1224321842872,3895.1500154804917,21982.55078125,52432158,8803799,18571102,2919608,426700.0
2024-03-15,706.9840698242188,1538.38623046875,1407.80517578125,3956.85791015625,22023.349609375,710.2205419583659,1549.4957975654736,1422.694969713975,3975.3796720157243,22120.900390625,701.9225261192986,1523.6519697189988,1402.5193474045138,3917.2354069378816,21931.69921875,705.6943406988961,1545.0707498555741,1415.4733954219128,3931.8653458631275,22064.849609375,143613804,11809997,19223818,3373143,661500.0
2024-03-18,703.7719116210938,1508.8707275390625,1428.8990478515625,3894.2587890625,22055.69921875,708.6144107880084,1537.1152732206572,1431.1325169373013,3990.1499296240027,22123.69921875,698.7833829737194,1505.2930391151203,1406.1177116464064,3861.76374108121,21916.55078125,704.2342392927528,1534.6203153666463,1409.5671563330236,3953.106408331295,21990.099609375,21437856,4958904,9169392,1526904,356300.0
2024-03-19,705.3779296875,1470.0814208984375,1414.778564453125,3729.954345703125,21817.44921875,706.8623448833252,1505.4342217324486,1427.0378036957165,3805.6356194004047,21978.30078125,698.6373444116205,1466.8333442521293,1406.8373411480031,3719.919817535177,21793.099609375,698.6373444116205,1499.173324716635,1418.252849649116,3799.3053975100765,21946.44921875,36183594,6870411,8275764,8931209,344200.0
2024-03-20,696.4716186523438,1463.9617919921875,1433.142578125,3723.9521484375,21839.099609375,706.4973325344582,1482.7914886121835,1434.3833942099568,3768.123120804515,21930.900390625,693.3568181834665,1461.5139544170574,1413.5625245390722,3713.9176204628307,21710.19921875,705.2319615530049,1471.540790852675,1417.458614341769,3738.113180569138,21843.900390625,43606094,4759059,8488806,1817913,312400.0
2024-03-21,703.6259155273438,1463.7264404296875,1440.3145751953125,3725.875,22011.94921875,706.3026871236781,1484.6744782005846,1447.1887452733042,3759.120343748554,22080.94921875,700.0001304926251,1453.087730653012,1434.060934378195,3702.476668668117,21941.30078125,702.0928435492851,1472.4822954464403,1441.8532357214951,3741.9116546616547,21989.900390625,28922860,11062497,13006936,3829582,353200.0
2024-03-22,702.2144775390625,1420.559326171875,1444.3348388671875,3667.683349609375,22096.75,706.0593065998343,1439.4361424981196,1449.2732629085037,3693.098108214434,22180.69921875,699.7323922549797,1410.5324900051585,1436.716179238339,3615.2598291433833,21883.30078125,701.3141208411934,1431.9983895472183,1439.321893152815,3654.6478739745176,21932.19921875,45980326,14673890,19527608,5852485,388700.0
2024-03-26,693.7218017578125,1405.307373046875,1430.983642578125,3636.36083984375,22004.69921875,699.8296715860995,1419.2412797585116,1441.7291835759677,3701.257291825828,22073.19921875,692.1400732485544,1400.8353200453062,1428.4276096750873,3630.68703955033,21947.55078125,694.597800363169,1404.6953849138222,1434.3835274360674,3634.016313190079,21947.900390625,56844290,8351081,11415906,3440925,328400.0
2024-03-27,701.1681518554688,1397.0223388671875,1481.8819580078125,3602.037109375,22123.650390625,704.6966236214441,1411.285858016063,1488.9794509587407,3652.772761001774,22193.599609375,691.7021375713913,1394.85699256447,1436.368843691532,3591.252286075508,22052.849609375,692.8215385852401,1408.4614033302403,1437.3614966588377,3646.6769913107573,22053.94921875,62168668,6857402,16326644,1968575,409100.0
2024-03-28,704.6723022460938,1410.391357421875,1474.933349609375,3635.23583984375,22326.900390625,710.8045307526719,1423.3367734843898,1494.8856495085238,3671.529069915745,22516.0,701.1681292352769,1400.129150066849,1467.786296896486,3601.6621693515754,22163.599609375,701.1681292352769,1400.129150066849,1481.90676076149,3610.6652440946027,22163.599609375,55592142,12499530,21854364,4311783,410500.0
2024-04-01,715.67138671875,1407.9434814453125,1473.8663330078125,3673.169921875,22462.0,717.2774734382766,1440.4247089660325,1482.9986918329437,3688.6907341711717,22529.94921875,708.4197572494843,1405.4486385196594,1471.6080232736622,3646.254801582969,22427.75,709.5878149173326,1435.7644049013911,1481.509712382751,3655.304582916496,22455.0,25199570,6580002,5013880,1569676,0.0
2024-04-02,720.367919921875,1396.080810546875,1476.025146484375,3642.269287109375,22453.30078125,727.5221766350272,1405.7781506375063,1483.0233977342266,3666.6993019354495,22497.599609375,712.1429189199621,1394.1978408148962,1464.1629930776332,3632.140885633653,22388.150390625,713.0676337207477,1397.9637802788536,1473.0968689675985,3648.0836677291272,22458.80078125,41225446,7279400,8910166,2142666,289500.0
2024-04-03,721.414306640625,1394.009521484375,1460.7880859375,3701.820556640625,22434.650390625,727.9115494819865,1407.613931160152,1473.5436523631188,3733.424734296911,22521.099609375,716.109420115624,1388.690109266799,1458.1079713887636,3611.5093322726466,22346.5,716.450076374618,1392.4560485461666,1471.186101560143,3611.5093322726466,22385.69921875,45584386,8736248,7008292,3973090,309600.0
2024-04-04,743.461181640625,1399.7054443359375,1452.1768798828125,3754.337646484375,22514.650390625,744.6292393883092,1408.1318024819914,1468.878217464342,3778.1110105154908,22619.0,731.9754091764817,1382.0997240670574,1439.3467919062653,3690.519582126367,22303.80078125,731.9754091764817,1403.3302528566012,1468.878217464342,3728.6414957560305,22592.099609375,88935066,11186915,14490272,3394637,401000.0
2024-04-05,754.1439208984375,1392.55029296875,1449.3724365234375,3731.783447265625,22513.69921875,756.5529915753328,1399.7055552251502,1459.9938949751336,3753.118641944344,22537.599609375,744.7022055513205,1389.6788329794124,1445.3025839763254,3714.19949560734,22427.599609375,749.0093625181328,1393.4447725803975,1450.1417667351745,3730.6111838217394,22486.400390625,59055902,5072482,7442298,1636819,242200.0
2024-04-08,752.7081909179688,1390.29052734375,1475.057373046875,3725.500244140625,22666.30078125,757.8914061879058,1403.706685446096,1480.0206375610207,3781.862534405873,22697.30078125,750.2504634550537,1387.8426899035271,1450.2658910334067,3713.7306731098083,22550.349609375,756.7720051664586,1396.221927423092,1452.226356281804,3735.300320958678,22578.349609375,20482940,6610887,8357118,2302538,227600.0
2024-04-09,753.6572265625,1407.3785400390625,1452.896484375,3701.11669921875,22642.75,756.7233110790663,1425.2197460789992,1478.8543827139295,3766.1070236289547,22768.400390625,749.6420692068525,1400.2703987062528,1451.7549092714805,3680.953770065772,22612.25,756.7233110790663,1402.8123617129154,1478.060211901015,3736.237662579727,22765.099609375,21884494,9423230,7071414,1876992,232400.0
2024-04-10,747.7196044921875,1418.62939453125,1468.7044677734375,3736.846923828125,22753.80078125,754.3142198543229,1421.5008543199363,1476.0749645358123,3742.05181846097,22775.69921875,746.0648611390807,1397.6813569645744,1455.5766564963697,3674.341938785351,22673.69921875,754.3142198543229,1412.5567483925915,1455.5766564963697,3710.353774320548,22720.25,27807400,6744595,9138330,2101965,276800.0
2024-04-12,739.2512817382812,1397.8697509765625,1456.3707275390625,3752.5556640625,22519.400390625,744.5561681914903,1418.6295396712196,1475.5536963762681,3763.76268515537,22726.44921875,736.5745101656407,1392.9269550899642,1452.3255942645226,3700.1321372268762,22503.75,740.2490112702176,1415.9933358940898,1465.031599863232,3724.0463102085732,22677.400390625,41084208,12275616,15551012,4354821,357200.0
2024-04-15,727.4490966796875,1382.240966796875,1454.062744140625,3696.099365234375,22272.5,734.8954117012732,1404.6482366428452,1471.2356878788278,3811.450077595125,22427.44921875,726.1594270943376,1375.5564475345761,1435.6986653849476,3675.326950485817,22259.55078125,728.8361984614614,1393.3975389714133,1450.2658952456557,3752.555521752734,22339.05078125,23415248,8531224,12902062,4200329,355500.0
2024-04-16,734.530517578125,1331.68310546875,1454.9810791015625,3631.953369140625,22147.900390625,736.3069325670494,1370.0016050968616,1460.3662698899807,3684.37689632826,22213.75,721.3900014445425,1330.3651187142993,1440.265047408789,3622.622198353119,22079.44921875,723.7017589124875,1366.0944202615754,1442.6721581376476,3659.33739612377,22125.30078125,20744886,16173541,9366184,3051420,317300.0
2024-04-18,727.4490966796875,1336.202392578125,1453.56640625,3621.8251953125,21995.849609375,739.2025682918519,1360.1631363842591,1475.0822062813913,3691.2231923226304,22326.5,725.6727413912242,1325.1399454315383,1448.6279823176308,3610.571466067614,21961.69921875,734.7980983246009,1337.9441165902024,1452.7475160786112,3635.7048405060677,22212.349609375,34234884,22107945,19005692,3476284,456900.0
2024-04-19,745.2619018554688,1328.6705322265625,1459.323974609375,3588.251220703125,22147.0,747.0382572891224,1343.3576733174316,1463.1705049395248,3612.9626239981167,22179.55078125,720.4165709168466,1298.072273734188,1432.4231028577299,3564.5245644253832,21777.650390625,723.4827148610226,1303.9565542134908,1446.0720814485837,3599.3174326502835,21861.5,34576434,20603621,15741778,2957749,362500.0
2024-04-22,735.9661254882812,1348.912353515625,1468.9774169921875,3624.26318359375,22336.400390625,757.9643557818745,1352.772418228229,1471.9305352298081,3636.829754907987,22375.650390625,734.0680986992392,1330.3651488397243,1457.0160218672338,3574.9342510854167,22198.150390625,757.9643557818745,1336.8142967644505,1461.6317610616636,3598.3795176848753,22336.900390625,42298438,5859087,10350362,1728883,279300.0
2024-04-23,733.7274169921875,1357.997802734375,1448.603271484375,3633.735107421875,22368.0,742.9257894510552,1362.1873644449943,1482.5272357774581,3652.772710601142,22447.55078125,731.6103458842442,1349.1478219496535,1444.8561033979943,3620.5121138030436,22349.44921875,742.8284760660457,1358.562670672261,1468.1337674689391,3635.9390541705266,22447.05078125,26827060,4856174,14605554,1807586,231500.0
2024-04-24,735.7227783203125,1347.0294189453125,1439.5205078125,3592.799560546875,22402.400390625,740.613993564681,1359.7865843478146,1457.7605053579202,3655.585938193527,22476.44921875,734.4331086916868,1343.54597104933,1438.8504186169605,3586.6099186323313,22384.0,737.3288649584306,1359.7865843478146,1452.7475596039474,3648.083452943258,22421.55078125,22441580,4268213,10462776,1317312,235900.0
2024-04-25,735.260498046875,1354.2789306640625,1449.2484130859375,3612.63427734375,22570.349609375,739.616311752735,1360.3515773251563,1457.189636393573,3632.7502707587055,22625.94921875,733.0704121681982,1336.9085799448767,1430.9091747445573,3573.9965228878514,22305.25,733.0704121681982,1336.9085799448767,1431.9018276580116,3574.1840392334375,22316.900390625,35445204,9089398,15943926,2856271,475000.0
